Arm,AUROC,Accuracy,Balanced_Accuracy,Macro_F1,Asthma_Sensitivity,COPD_Sensitivity,Model,Fold,Repeat,Threshold,Inner_CV_AUC
B_no_ratio,0.8918238993710692,0.7010869565217391,0.7933333333333333,0.6247265175955798,0.6666666666666666,0.92,SVM,4,1,0.9199999999999999,0.906828947368421
B_no_ratio,0.9071698113207548,0.8478260869565217,0.8108176100628931,0.7415211719847481,0.8616352201257862,0.76,Random Forest,4,1,0.8049999999999999,0.9090116959064327
B_no_ratio,0.8347169811320756,0.6847826086956522,0.750188679245283,0.6017910447761194,0.660377358490566,0.84,Extra Trees,4,1,0.82,0.8599956140350878
B_no_ratio,0.9345911949685535,0.8913043478260869,0.8865408805031447,0.8108552631578947,0.8930817610062893,0.88,XGBoost (regularized),4,1,0.605,0.9254298245614037
B_no_ratio,0.9033592989289192,0.8152173913043478,0.8120740019474197,0.7180966113914924,0.8164556962025317,0.8076923076923077,Logistic Regression,5,1,0.5049999999999999,0.8763961988304093
B_no_ratio,0.9203992210321323,0.8532608695652174,0.7860272638753651,0.7414519906323185,0.879746835443038,0.6923076923076923,SVM,5,1,0.7599999999999999,0.8902558479532164
B_no_ratio,0.9235637779941578,0.7934782608695652,0.8476144109055501,0.7116938809170378,0.7721518987341772,0.9230769230769231,Random Forest,5,1,0.6549999999999999,0.901093567251462
B_no_ratio,0.9121226874391432,0.907608695652174,0.8016066212268744,0.8065194532071503,0.9493670886075949,0.6538461538461539,Extra Trees,5,1,0.5549999999999999,0.839858187134503
B_no_ratio,0.9184518013631937,0.7771739130434783,0.8381207400194742,0.6961862188393539,0.7531645569620253,0.9230769230769231,XGBoost (regularized),5,1,0.6449999999999999,0.9165847953216375
B_no_ratio,0.8962264150943396,0.8432432432432433,0.7640299951620706,0.7226099994829636,0.8742138364779874,0.6538461538461539,Logistic Regression,6,2,0.41999999999999993,0.9073377192982456
B_no_ratio,0.8940493468795355,0.8324324324324325,0.8059990324141268,0.7298506759621273,0.8427672955974843,0.7692307692307693,SVM,6,2,0.8499999999999999,0.9160862573099415
